,AIRPORT,DEST_ELEVATION
0,LGA,1.5
1,IAH,29.0
2,DFW,170.7
3,PHX,337.4
4,SAV,4.9
5,JFK,1.5
6,MSY,1.2
7,BWI,3.0
8,FAR,274.3
9,TUS,776.9
10,LAS,664.5
11,ATL,307.8
12,SFO,4.6
16,SNA,4.6
17,HNL,2.1
19,AGS,40.2
20,MSP,397.5
21,DEN,1884.0
22,SLC,1287.8
23,SAN,4.6
24,RIC,50.0
25,DAL,170.7
26,EWR,3.4
27,CLE,238.0
28,LAX,712.6
29,SDF,148.7
32,SEA,112.8
33,ORD,204.2
36,AUS,240.5
38,FWA,241.1
40,PHL,3.0
41,DTW,350.8
42,SJC,2.4
45,FLL,3.4
47,PIT,355.7
48,IND,241.1
49,DCA,3.0
51,IAD,3.0
53,PDX,5.8
54,TPA,5.8
56,ABQ,1618.5
60,OAK,4.6
61,BOS,104.5
64,HIB,436.8
65,CMH,248.7
68,HOU,29.0
73,STL,161.8
74,SJU,2.7
78,PSP,124.7
82,MFE,10.1
85,MCO,27.4
87,JST,162.8
94,GSP,645.3
95,CHS,14.9
102,XNA,384.7
103,LFT,19.5
104,JAC,1956.5
107,PAE,112.8
108,BQN,2.7
109,CLT,271.3
117,MDW,201.8
118,OAJ,5.8
122,MIA,3.4
124,GEG,717.2
125,HPN,1.5
134,BNA,182.9
144,OMA,362.7
146,ABE,3.0
147,RSW,4.6
153,ONT,712.6
156,LRD,145.1
161,SAT,240.5
162,DSM,291.7
172,GPT,64.3
182,BUR,712.6
189,ELP,1194.2
201,GRR,244.8
206,CVG,269.1
208,LAW,310.0
212,SYR,486.2
217,TRI,456.3
218,MEM,77.4
227,MRY,22.6
228,SMF,4.6
231,JAX,7.9
248,FAY,10.1
252,ORF,9.1
262,CHO,286.5
268,EUG,107.6
270,DHN,61.6
271,BOI,857.7
272,MKE,204.2
273,ILM,5.8
293,OGG,135.0
296,BTV,100.6
300,ELM,486.2
301,MSN,264.0
302,HDN,1886.7
310,MCI,306.3
320,OKC,391.7
326,SRQ,5.8
335,GRB,209.4
339,BIL,1091.5
340,LIT,78.6
341,ROC,164.3
353,MAF,872.3
375,DAY,192.3
376,ITO,11.6
377,ANC,36.6
389,TYS,293.2
398,PIE,5.8
404,ROA,174.0
406,KOA,11.6
420,CHA,204.2
434,FNT,234.7
437,CID,264.6
447,SHV,77.4
453,MDT,95.1
458,MHT,104.5
463,SGF,384.7
468,BDL,1.5
474,BHM,187.5
476,SBN,235.6
489,PSM,104.5
499,SWO,391.7
516,BUF,218.2
517,RDU,174.0
526,BRO,10.1
528,ASE,2353.1
532,ISP,1.5
539,FAI,131.7
549,ATW,209.4
552,GSO,174.0
563,MTJ,1480.7
564,EYW,57.9
566,MYR,36.9
568,DIK,786.4
574,SFB,27.4
588,PBI,8.5
595,STT,18.6
