AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST,URL
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",23,Pennsylvania,PA,30135,"Allentown/Bethlehem/Easton, PA",40,39,17,40.65472222,75,W,26,18,-75.43833333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2018/LCD_USW00013739_2018.csv
10136,ABI,Abilene Regional,"Abilene, TX",74,Texas,TX,30136,"Abilene, TX",32,24,34,32.40944444,99,W,40,47,-99.67972222,1/1/1950 12:00:00 AM,8/31/1990 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2019/LCD_USW00013962_2019.csv
10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",86,New Mexico,NM,30140,"Albuquerque, NM",35,2,30,35.04166667,106,W,36,23,-106.6063889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2019/LCD_USW00023050_2019.csv
10141,ABR,Aberdeen Regional,"Aberdeen, SD",67,South Dakota,SD,30141,"Aberdeen, SD",45,26,59,45.44972222,98,W,25,18,-98.42166667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2018/LCD_USW00014929_2018.csv
10146,ABY,Southwest Georgia Regional,"Albany, GA",34,Georgia,GA,30146,"Albany, GA",31,31,56,31.53222222,84,W,11,46,-84.19611111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2018/LCD_USW00093842_2018.csv
10154,ACK,Nantucket Memorial,"Nantucket, MA",13,Massachusetts,MA,30154,"Nantucket, MA",41,15,24,41.25666667,70,W,3,35,-70.05972222,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2019/LCD_USW00014756_2019.csv
10155,ACT,Waco Regional,"Waco, TX",74,Texas,TX,30155,"Waco, TX",31,36,41,31.61138889,97,W,13,43,-97.22861111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2018/LCD_USW00013959_2018.csv
10157,ACV,Arcata,"Arcata/Eureka, CA",91,California,CA,30157,"Eureka/Arcata, CA",40,58,45,40.97916667,124,W,6,27,-124.1075,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2019/LCD_USW00024283_2019.csv
10158,ACY,Nafec Atlantic City,"Atlantic City, NJ",21,New Jersey,NJ,30158,"Atlantic City, NJ",39,27,22,39.45611111,74,W,34,41,-74.57805556,1/1/1950 12:00:00 AM,5/31/1976 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2018/LCD_USW00013739_2018.csv
10165,ADK,Adak NS,"Adak Island, AK",1,Alaska,AK,30165,"Adak Island, AK",51,52,58,51.88277778,176,W,38,41,-176.6447222,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/access/2019/LCD_USW00025704_2019.csv
